"My Wish List","My Favorites",Magento_Wishlist
"Update Wish List","Update Favorites",Magento_Wishlist
"Move to Wishlist","Move to Favorites",Magento_Wishlist
"Share Wish List","Share Favorites",Magento_Wishlist
"Wish List","Favorites",Magento_Wishlist
"%1 has been added to your Wish List. Click here to continue shopping.","%1 has been added to your Favorites. Click here to continue shopping."
"You have no items in your wish list.","You have no items in your favorites",Magento_Wishlist
"View Order","View"
"Original Price","List Price"
